,Speaker,Date,Article_Link,Location,Word_Count,Inflation_Mentions,Expectation_Mentions,Resolve_Mentions,Optimism_Mentions,Recession_Mentions,Employment_Mentions,Unemployment_Mentions,Wage_Mentions,Instability_Mentions,Crisis_Mentions,Rate_Mentions,Spread_Mentions,Easing_Mentions,Tightening_Metions,Uncertainty_Mentions,Output_Mentions,Declining_Mentions,Rising_Mentions,Concern_Mentions,Labor_Mentions,Interest_Mentions
39_12,Governor Randall S. Kroszner,2008-12-04,https://www.federalreserve.gov/newsevents/speech/kroszner20081204a.htm,"At the Federal Reserve System Conference on Housing and Mortgage Markets, Washington, D.C.",2326,0,0,0,0,0,0,0,0,0,0,9,2,1,0,2,0,0,0,0,1,1
39_13,Chairman Ben S. Bernanke,2008-12-04,https://www.federalreserve.gov/newsevents/speech/bernanke20081204a.htm,"At the Federal Reserve System Conference on Housing and Mortgage Markets, Washington, D.C.",4128,0,0,0,0,1,2,2,0,0,6,24,2,2,0,0,0,3,2,3,1,5
39_14,Governor Randall S. Kroszner,2008-12-03,https://www.federalreserve.gov/newsevents/speech/kroszner20081203a.htm,"At the Confronting Concentrated Poverty Policy Forum, Board of Governors of the Federal Reserve System, Washington, D.C.",3636,0,0,0,0,0,0,0,0,0,16,28,0,0,0,0,0,0,2,2,0,0
39_15,Chairman Ben S. Bernanke,2008-12-01,https://www.federalreserve.gov/newsevents/speech/bernanke20081201a.htm,"At the Greater Austin Chamber of Commerce, Austin, Texas",4118,11,3,1,0,0,4,2,0,0,9,38,4,3,1,1,2,0,0,2,3,11
39_16,Vice Chairman Donald L. Kohn,2008-11-19,https://www.federalreserve.gov/newsevents/speech/kohn20081119a.htm,"At the Cato Institute's 26th Annual Monetary Policy Conference, Washington, D.C.",5140,10,3,1,0,2,4,3,0,0,16,57,0,2,5,1,4,0,5,3,0,11
39_17,Chairman Ben S. Bernanke,2008-11-14,https://www.federalreserve.gov/newsevents/speech/bernanke20081214a.htm,"At the Fifth European Central Bank Central Banking Conference, The Euro at Ten: Lessons and Challenges, Frankfurt, Germany",1760,1,0,2,0,0,0,0,0,0,1,6,0,5,0,0,0,0,0,0,2,1
39_18,Vice Chairman Donald L. Kohn,2008-11-12,https://www.federalreserve.gov/newsevents/speech/kohn20081112a.htm,"At the Official Celebration of the 10th Anniversary of the Banque Centrale du Luxembourg, Luxembourg, Luxembourg",3174,2,0,0,1,1,0,0,0,0,2,9,1,2,1,1,3,0,2,0,2,3
39_19,Governor Kevin Warsh,2008-11-06,https://www.federalreserve.gov/publications.htm,"At the Money Marketeers of New York University, New York, New York",,,,,,,,,,,,,,,,,,,,,,
39_20,Chairman Ben S. Bernanke,2008-10-31,https://www.federalreserve.gov/newsevents/speeches.htm,"At the UC Berkeley/UCLA Symposium: The Mortgage Meltdown, the Economy, and Public Policy, Berkeley, California",,,,,,,,,,,,,,,,,,,,,,
40_1,Governor Randall S. Kroszner,2008-10-20,https://www.federalreserve.gov/newsevents/speech/kroszner20081020a.htm,"At the Risk Management Association Annual Risk Management Conference, Baltimore, Maryland",3708,0,0,0,0,0,0,0,0,0,1,51,0,1,1,7,0,0,0,4,0,1
40_2,Chairman Ben S. Bernanke,2008-10-15,https://www.federalreserve.gov/newsevents/speech/bernanke20081015a.htm,"At the Economic Club of New York, New York, New York",3084,4,0,0,0,0,0,0,0,0,10,9,0,1,2,2,0,0,1,1,1,3
40_3,Vice Chairman Donald L. Kohn,2008-10-15,https://www.federalreserve.gov/newsevents/speech/kohn20081015a.htm,"At the Georgetown University Wall Street Alliance, New York, New York",3089,6,1,1,0,0,2,0,0,0,0,19,2,9,1,3,0,1,4,1,2,7
40_4,Chairman Ben S. Bernanke,2008-10-14,https://www.federalreserve.gov/newsevents/speech/bernanke20081014a.htm,"At the President's Working Group Market Stability Initiative Announcement, Washington, D.C.",609,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,1,0
40_5,Chairman Ben S. Bernanke,2008-10-07,https://www.federalreserve.gov/newsevents/speech/bernanke20081007a.htm,"At the National Association for Business Economics 50th Annual Meeting, Washington, D.C.",3314,6,0,0,0,0,1,0,0,1,2,11,1,2,1,4,0,1,2,2,0,10
40_6,Vice Chairman Donald L. Kohn,2008-09-11,https://www.federalreserve.gov/newsevents/speech/kohn20080911a.htm,"At the Brookings Panel on Economic Activity, Washington, D.C.",1903,0,2,0,0,0,0,0,0,0,1,7,2,2,3,2,0,0,1,2,0,2
40_7,Chairman Ben S. Bernanke,2008-09-09,https://www.federalreserve.gov/newsevents/speech/bernanke20080909a.htm,"At the 2008 National Historically Black Colleges and Universities Week Conference, Washington, D.C.",693,0,0,0,0,0,1,1,0,0,0,4,0,2,0,0,0,0,0,0,0,0
40_8,Governor Randall S. Kroszner,2008-09-01,https://www.federalreserve.gov/newsevents/speech/kroszner20080901a.htm,"At the Central Bank of Argentina 2008 Money and Banking Conference, Buenos Aires, Argentina",3208,1,0,2,0,0,0,0,0,0,0,11,1,2,0,0,0,0,1,3,0,2
40_9,Chairman Ben S. Bernanke,2008-08-22,https://www.federalreserve.gov/newsevents/speech/bernanke20080822a.htm,"At the Federal Reserve Bank of Kansas City's Annual Economic Symposium, Jackson Hole, Wyoming",3993,7,5,2,0,0,1,1,0,1,4,11,0,3,1,1,0,0,2,8,1,1
40_10,Governor Frederic S. Mishkin,2008-07-28,https://www.federalreserve.gov/newsevents/speech/mishkin20080728a.htm,"At the Peterson Institute for International Economics, Washington, D.C.",6797,181,26,0,0,1,35,17,0,2,0,69,0,1,0,8,24,0,0,6,3,5
40_11,Governor Kevin Warsh,2008-07-28,https://www.federalreserve.gov/newsevents/speech/warsh20080728a.htm,"At the U.S. Department of the Treasury Press Conference on Covered Bond Framework, Washington, D.C.",499,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1
40_12,Governor Randall S. Kroszner,2008-07-17,https://www.federalreserve.gov/newsevents/speech/kroszner20080717a.htm,"Minority Depository Institutions National Conference, Chicago, Illinois",3431,0,0,0,0,0,1,0,0,0,0,26,2,3,0,1,0,0,0,2,1,11
40_13,Chairman Ben S. Bernanke,2008-07-08,https://www.federalreserve.gov/newsevents/speech/bernanke20080708a.htm,"At the Federal Deposit Insurance Corporation's Forum on Mortgage Lending for Low and Moderate Income Households, Arlington, Virginia",4046,0,1,1,0,0,0,0,0,2,0,11,0,2,0,1,0,0,1,1,1,1
40_14,Governor Frederic S. Mishkin,2008-07-02,https://www.federalreserve.gov/newsevents/speech/mishkin20080702a.htm,"At the Caesarea Forum of the Israel Democracy Institute, Eliat, Israel",3750,8,2,0,0,0,0,0,1,0,5,11,3,1,2,0,0,0,2,1,1,2
40_15,Vice Chairman Donald L. Kohn,2008-06-26,https://www.federalreserve.gov/newsevents/speech/kohn20080626a.htm,"At the International Research Forum on Monetary Policy, Frankfurt, Germany",3701,9,1,0,0,0,0,0,0,0,2,23,6,3,0,0,3,0,3,1,1,2
40_16,Chairman Ben S. Bernanke,2008-06-16,https://www.federalreserve.gov/newsevents/speech/bernanke20080616a.htm,"At the Senate Finance Committee Health Reform Summit, Washington, D.C.",3610,0,0,0,0,0,0,0,1,0,0,6,2,6,0,0,0,0,6,2,2,4
40_17,Chairman Ben S. Bernanke,2008-06-12,https://www.federalreserve.gov/newsevents/speech/bernanke20080612a.htm,"At the Federal Reserve Bank of Kansas City, Kansas City, Missouri",845,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,1
40_18,Vice Chairman Donald L. Kohn,2008-06-11,https://www.federalreserve.gov/newsevents/speeches.htm,"At the Federal Reserve Bank of Boston's 53rd Annual Economic Conference, Chatham, Massachusetts",,,,,,,,,,,,,,,,,,,,,,
40_19,Governor Randall S. Kroszner,2008-06-11,https://www.federalreserve.gov/newsevents/speech/kroszner20080611a.htm,"At the Federal Reserve Bank of Cleveland Community Development Policy Summit, Cleveland, Ohio",3207,0,0,0,0,0,4,0,0,0,0,15,1,2,0,0,1,0,0,4,0,6
40_20,Chairman Ben S. Bernanke,2008-06-09,https://www.federalreserve.gov/newsevents/speech/bernanke20080609a.htm,"At the Federal Reserve Bank of Boston’s 53rd Annual Economic Conference, Chatham, Massachusetts",3509,64,24,0,0,0,3,1,3,0,0,13,0,0,0,5,8,0,3,3,18,3
41_1,Governor Randall S. Kroszner,2008-06-06,https://www.federalreserve.gov/newsevents/speech/kroszner20080606a.htm,"At the Boston College Carroll School of Management Center for Asset Management, Boston, Massachusetts",3539,0,0,0,0,0,0,0,0,0,0,20,7,1,0,0,0,0,1,2,1,3
41_2,Chairman Ben S. Bernanke,2008-06-04,https://www.federalreserve.gov/newsevents/speech/bernanke20080604a.htm,"At Harvard University, Cambridge, Massachusetts",3883,34,5,0,1,1,4,2,7,0,0,10,0,4,0,0,7,1,4,2,3,1
41_3,Chairman Ben S. Bernanke,2008-06-03,https://www.federalreserve.gov/newsevents/speech/bernanke20080603a.htm,"At the International Monetary Conference, Barcelona, Spain (via satellite)",2442,11,5,0,0,0,2,0,0,0,0,14,0,1,0,1,0,0,2,0,3,3
41_4,Vice Chairman Donald L. Kohn,2008-05-29,https://www.federalreserve.gov/newsevents/speech/kohn20080529a.htm,"At the Federal Reserve Bank of New York and Columbia Business School Conference on the Role of Money Markets, New York, New York",3764,0,1,1,0,0,0,0,0,0,2,11,4,2,0,2,0,0,0,5,0,0
41_5,Governor Randall S. Kroszner,2008-05-22,https://www.federalreserve.gov/newsevents/speech/kroszner20080522a.htm,"At the Conference of State Bank Supervisors Annual Conference, Amelia Island Plantation, Florida",3242,0,0,0,0,0,0,0,0,0,0,20,5,1,0,0,0,0,0,3,4,2
41_6,Governor Kevin Warsh,2008-05-21,https://www.federalreserve.gov/newsevents/speech/warsh20080521a.htm,"At the Exchequer Club Luncheon, Washington, D.C.",4193,30,3,0,0,0,3,1,1,0,4,73,2,1,0,4,7,0,2,3,1,2
41_7,Vice Chairman Donald L. Kohn,2008-05-20,https://www.federalreserve.gov/newsevents/speech/kohn20080520a.htm,"At the National Conference on Public Employee Retirement Systems Annual Conference, New Orleans, Louisiana",3642,24,7,0,0,0,3,1,2,0,0,21,2,2,2,2,1,1,7,3,3,6
41_8,Chairman Ben S. Bernanke,2008-05-15,https://www.federalreserve.gov/newsevents/speech/bernanke20080515a.htm,"At the Federal Reserve Bank of Chicago's Annual Conference on Bank Structure and Competition, Chicago, Illinois",3148,0,0,0,0,0,0,0,0,0,0,9,3,3,0,0,1,0,2,2,0,0
41_9,Governor Frederic S. Mishkin,2008-05-15,https://www.federalreserve.gov/newsevents/speech/mishkin20080515a.htm,"At the Wharton Financial Institutions Center and Oliver Wyman Institute's Annual Financial Risk Roundtable, Philadelphia, Pennsylvania",5569,18,1,1,1,0,11,1,0,8,2,24,1,5,4,0,0,0,6,7,0,12
41_10,Governor Randall S. Kroszner,2008-05-14,https://www.federalreserve.gov/newsevents/speech/kroszner20080514a.htm,"At the Federal Reserve Bank of Boston AMA Conference, Boston, MA",3431,0,4,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,2
41_11,Chairman Ben S. Bernanke,2008-05-13,https://www.federalreserve.gov/newsevents/speech/bernanke20080513.htm,"At the Federal Reserve Bank of Atlanta Financial Markets Conference, Sea Island, Georgia (via satellite)",4139,0,0,0,0,0,0,0,0,0,12,24,7,3,1,0,0,0,2,3,0,2
41_12,Governor Randall S. Kroszner,2008-05-07,https://www.federalreserve.gov/newsevents/speech/kroszner20080507a.htm,"At the NeighborWorks America Symposium on Stabilizing Communities in the Wake of Foreclosure, Cincinnati, Ohio",3050,0,0,1,0,0,0,0,0,0,0,18,0,2,0,0,0,4,3,1,1,1
41_13,Chairman Ben S. Bernanke,2008-05-05,https://www.federalreserve.gov/newsevents/speech/Bernanke20080505a.htm,"At the Columbia Business School's 32nd Annual Dinner, New York, New York",3202,0,0,1,0,0,8,8,0,0,1,28,1,3,0,0,0,0,1,1,3,5
